record_id,sample_index,part_id,measurement_timestamp_sgt,production_date_sgt,batch_id,process_stage,shift,assembly_operator_id,appraiser_id,improvement_plan_id,improvement_actions,source_system,motor_current_a,jaw_alignment_error_mm,gear_backlash_deg,pad_thickness_mm,fastener_torque_nm,sensor_zero_offset_n,measured_force_n,target_n,lsl_n,usl_n,deviation_from_target_n,spec_status,defect_type,defect_flag,device_id,protocol_id,test_block_id,test_block_diameter_mm,closing_speed_mm_s,hold_time_s,contact_distance_from_jaw_root_mm,device_resolution_n,ctq,data_label,generation_model_version,process_seed,measurement_seed
BL-120,120,EG-B-120,2026-08-11T00:30:00+08:00,2026-08-10,BATCH-B-06,Before Improvement,Night,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.031,0.196,0.641,2.848,2.148,0.063,12.01,12.00,10.00,14.00,0.01,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-121,121,EG-B-121,2026-08-11T08:00:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Day,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.237,0.156,0.737,2.781,2.841,0.015,12.48,12.00,10.00,14.00,0.48,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-122,122,EG-B-122,2026-08-11T08:30:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Day,OP-A,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.968,0.181,0.945,2.854,2.654,-0.034,11.83,12.00,10.00,14.00,-0.17,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-123,123,EG-B-123,2026-08-11T09:00:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Day,OP-A,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.157,0.207,0.778,2.92,2.572,-0.021,12.40,12.00,10.00,14.00,0.40,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-124,124,EG-B-124,2026-08-11T09:30:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Day,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.313,0.218,0.998,2.991,2.321,0.065,12.58,12.00,10.00,14.00,0.58,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-125,125,EG-B-125,2026-08-11T10:00:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Day,OP-A,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.753,0.297,0.269,2.994,2.647,0.035,11.64,12.00,10.00,14.00,-0.36,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-126,126,EG-B-126,2026-08-11T10:30:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Day,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.13,0.176,1.09,2.888,2.266,-0.040,11.67,12.00,10.00,14.00,-0.33,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-127,127,EG-B-127,2026-08-11T11:00:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Day,OP-B,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.86,0.087,0.925,3.131,2.296,-0.007,12.11,12.00,10.00,14.00,0.11,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-128,128,EG-B-128,2026-08-11T11:30:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Day,OP-B,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.017,0.462,0.151,2.912,2.513,0.014,11.64,12.00,10.00,14.00,-0.36,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-129,129,EG-B-129,2026-08-11T12:00:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Day,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.941,0.053,0.805,2.853,2.528,0.020,11.96,12.00,10.00,14.00,-0.04,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-130,130,EG-B-130,2026-08-11T12:30:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Day,OP-B,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.835,0.155,0.795,2.89,2.008,0.017,11.31,12.00,10.00,14.00,-0.69,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-131,131,EG-B-131,2026-08-11T20:00:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Night,OP-B,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.826,0.32,0.813,2.806,2.466,-0.045,11.51,12.00,10.00,14.00,-0.49,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-132,132,EG-B-132,2026-08-11T20:30:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Night,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.774,0.32,0.842,2.985,2.311,-0.005,11.25,12.00,10.00,14.00,-0.75,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-133,133,EG-B-133,2026-08-11T21:00:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Night,OP-B,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.01,0.271,1.008,3.034,2.371,-0.018,12.04,12.00,10.00,14.00,0.04,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-134,134,EG-B-134,2026-08-11T21:30:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Night,OP-B,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.752,0.491,0.846,2.968,2.731,-0.005,10.60,12.00,10.00,14.00,-1.40,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-135,135,EG-B-135,2026-08-11T22:00:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Night,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.17,0.477,0.982,3.053,2.377,0.028,11.78,12.00,10.00,14.00,-0.22,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-136,136,EG-B-136,2026-08-11T22:30:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Night,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.486,0.327,0.864,2.85,2.237,0.052,10.18,12.00,10.00,14.00,-1.82,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-137,137,EG-B-137,2026-08-11T23:00:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Night,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.238,0.601,0.954,2.96,2.797,-0.084,12.27,12.00,10.00,14.00,0.27,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-138,138,EG-B-138,2026-08-11T23:30:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Night,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.059,0.351,0.709,2.918,2.455,0.004,11.65,12.00,10.00,14.00,-0.35,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-139,139,EG-B-139,2026-08-12T00:00:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Night,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.772,0.333,0.917,2.786,2.201,0.036,11.16,12.00,10.00,14.00,-0.84,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-140,140,EG-B-140,2026-08-12T00:30:00+08:00,2026-08-11,BATCH-B-07,Before Improvement,Night,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.093,0.254,1.059,3.075,1.82,0.015,12.48,12.00,10.00,14.00,0.48,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-141,141,EG-B-141,2026-08-12T08:00:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Day,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.437,0.36,0.651,2.94,2.552,0.000,13.46,12.00,10.00,14.00,1.46,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-142,142,EG-B-142,2026-08-12T08:30:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Day,OP-B,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.904,0.442,0.257,2.87,2.662,0.064,11.76,12.00,10.00,14.00,-0.24,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-143,143,EG-B-143,2026-08-12T09:00:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Day,OP-B,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.723,0.459,0.323,2.773,2.398,-0.030,10.81,12.00,10.00,14.00,-1.19,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-144,144,EG-B-144,2026-08-12T09:30:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Day,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.904,0.364,0.585,3.028,2.603,0.070,11.68,12.00,10.00,14.00,-0.32,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-145,145,EG-B-145,2026-08-12T10:00:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Day,OP-B,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.995,0.364,0.582,2.961,2.169,0.100,12.22,12.00,10.00,14.00,0.22,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-146,146,EG-B-146,2026-08-12T10:30:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Day,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.776,0.168,0.585,2.931,2.169,-0.030,11.19,12.00,10.00,14.00,-0.81,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-147,147,EG-B-147,2026-08-12T11:00:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Day,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.071,0.349,0.871,3.002,2.496,-0.042,11.70,12.00,10.00,14.00,-0.30,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-148,148,EG-B-148,2026-08-12T11:30:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Day,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.02,0.286,0.491,3.105,2.568,0.039,12.54,12.00,10.00,14.00,0.54,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-149,149,EG-B-149,2026-08-12T12:00:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Day,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.994,0.403,0.263,2.862,2.085,-0.064,11.21,12.00,10.00,14.00,-0.79,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-150,150,EG-B-150,2026-08-12T12:30:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Day,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.748,0.308,0.94,3.02,2.089,-0.005,10.66,12.00,10.00,14.00,-1.34,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-151,151,EG-B-151,2026-08-12T20:00:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Night,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.603,0.248,0.612,2.856,2.339,0.014,10.58,12.00,10.00,14.00,-1.42,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-152,152,EG-B-152,2026-08-12T20:30:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Night,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.988,0.378,0.357,3.191,2.542,-0.040,11.90,12.00,10.00,14.00,-0.10,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-153,153,EG-B-153,2026-08-12T21:00:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Night,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.022,0.295,0.614,2.936,2.441,0.085,12.26,12.00,10.00,14.00,0.26,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-154,154,EG-B-154,2026-08-12T21:30:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Night,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.883,0.155,0.875,3.198,2.853,-0.023,11.71,12.00,10.00,14.00,-0.29,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-155,155,EG-B-155,2026-08-12T22:00:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Night,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.044,0.467,0.903,3.193,2.374,0.028,11.98,12.00,10.00,14.00,-0.02,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-156,156,EG-B-156,2026-08-12T22:30:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Night,OP-A,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.234,0.334,0.952,3.14,2.652,0.045,12.18,12.00,10.00,14.00,0.18,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-157,157,EG-B-157,2026-08-12T23:00:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Night,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.815,0.251,0.228,2.876,2.111,-0.014,11.65,12.00,10.00,14.00,-0.35,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-158,158,EG-B-158,2026-08-12T23:30:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Night,OP-A,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.071,0.333,0.373,3.061,2.552,-0.036,12.29,12.00,10.00,14.00,0.29,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-159,159,EG-B-159,2026-08-13T00:00:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Night,OP-A,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.083,0.186,0.768,2.963,2.408,-0.008,12.39,12.00,10.00,14.00,0.39,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-160,160,EG-B-160,2026-08-13T00:30:00+08:00,2026-08-12,BATCH-B-08,Before Improvement,Night,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.943,0.175,1.276,3.096,2.485,-0.060,11.91,12.00,10.00,14.00,-0.09,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-161,161,EG-B-161,2026-08-13T08:00:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Day,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.709,0.281,0.702,2.988,2.461,-0.081,10.87,12.00,10.00,14.00,-1.13,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-162,162,EG-B-162,2026-08-13T08:30:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Day,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.626,0.35,1.138,3.01,2.348,-0.002,9.98,12.00,10.00,14.00,-2.02,Out of Specification,Under Force,1,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-163,163,EG-B-163,2026-08-13T09:00:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Day,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.165,0.313,0.817,2.887,2.212,0.016,12.70,12.00,10.00,14.00,0.70,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-164,164,EG-B-164,2026-08-13T09:30:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Day,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.75,0.286,0.902,2.94,2.147,-0.004,10.61,12.00,10.00,14.00,-1.39,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-165,165,EG-B-165,2026-08-13T10:00:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Day,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.849,0.254,0.761,3.183,2.095,0.025,11.21,12.00,10.00,14.00,-0.79,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-166,166,EG-B-166,2026-08-13T10:30:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Day,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.837,0.235,0.806,2.848,2.595,-0.072,11.18,12.00,10.00,14.00,-0.82,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-167,167,EG-B-167,2026-08-13T11:00:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Day,OP-A,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.624,0.358,0.531,2.908,2.575,-0.014,11.19,12.00,10.00,14.00,-0.81,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-168,168,EG-B-168,2026-08-13T11:30:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Day,OP-A,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.891,0.226,0.785,2.997,2.6,-0.054,11.43,12.00,10.00,14.00,-0.57,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-169,169,EG-B-169,2026-08-13T12:00:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Day,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.888,0.226,1.116,3.034,2.646,0.037,11.83,12.00,10.00,14.00,-0.17,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-170,170,EG-B-170,2026-08-13T12:30:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Day,OP-A,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.037,0.288,0.847,3.157,2.684,0.037,12.16,12.00,10.00,14.00,0.16,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-171,171,EG-B-171,2026-08-13T20:00:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Night,OP-A,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.911,0.371,1.239,3.089,2.305,0.061,11.42,12.00,10.00,14.00,-0.58,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-172,172,EG-B-172,2026-08-13T20:30:00+08:00,2026-08-13,BATCH-B-09,Before Improvement,Night,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.097,0.163,0.863,2.886,2.018,-0.003,12.04,12.00,10.00,14.00,0.04,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
